aX,aY,aZ,gX,gY,gZ
0.154,0.342,0.839,-3.235,-2.808,-1.892
0.143,0.364,0.891,-1.587,-5.188,-0.549
0.151,0.371,0.872,0.061,-5.493,0.854
0.144,0.376,0.852,0.183,-4.456,1.587
0.141,0.377,0.893,-0.977,-4.517,1.526
0.143,0.374,0.885,-1.587,-4.456,0.916
0.145,0.370,0.879,-2.197,-5.554,1.038
0.140,0.361,0.874,-2.808,-5.615,0.732
0.140,0.356,0.886,-2.380,-3.662,0.671
0.149,0.353,0.857,-1.404,-2.686,0.610
0.140,0.355,0.868,-1.892,-3.784,0.366
0.139,0.348,0.859,-2.563,-3.235,-0.305

0.240,-0.881,-1.803,-62.988,26.245,-57.373
0.331,-0.908,-1.937,-26.306,59.570,-73.242
0.465,-0.876,-1.956,10.742,103.455,-95.642
0.637,-0.789,-1.836,43.274,161.987,-121.399
0.828,-0.691,-1.672,69.092,225.708,-143.921
0.962,-0.596,-1.469,85.632,281.799,-162.903
1.066,-0.496,-1.250,97.290,332.458,-175.476
1.186,-0.470,-0.976,115.051,374.023,-178.833
1.225,-0.440,-0.734,132.751,408.691,-171.692
1.258,-0.425,-0.419,151.367,435.303,-156.860
1.237,-0.391,-0.061,176.453,451.111,-139.038
1.192,-0.317,0.275,200.256,464.722,-121.887
1.171,-0.291,0.546,205.627,478.821,-111.206
1.231,-0.118,0.760,183.350,492.554,-108.948
1.271,0.170,1.171,147.583,502.808,-115.112
1.214,0.436,1.657,119.873,504.028,-117.554
0.864,0.922,2.822,25.635,457.275,-107.117
0.678,1.067,3.043,-40.710,416.565,-101.074
0.602,1.137,2.984,-91.858,371.033,-96.741
0.591,1.233,2.992,-91.370,326.538,-83.618
0.559,1.264,3.092,-34.058,292.908,-59.631
0.433,1.194,3.275,37.048,283.386,-31.433
0.316,1.056,3.105,85.022,291.748,-8.484
0.260,0.936,2.915,92.102,291.748,-0.427
0.238,0.820,2.722,66.223,278.442,-5.493
0.239,0.760,2.651,26.489,262.817,-19.836
0.159,0.482,2.058,-1.709,281.494,-39.063
0.434,0.693,1.378,-44.189,285.400,-50.842
0.202,0.607,2.162,-70.740,177.795,-64.514
0.335,0.462,1.908,-51.147,162.476,-69.885
0.413,0.486,1.884,-33.936,173.279,-69.092
0.374,0.490,1.863,-13.977,170.227,-62.378
0.388,0.494,2.005,1.526,158.569,-50.903
0.413,0.541,1.949,8.484,146.423,-40.710
0.410,0.571,1.914,0.183,127.869,-31.189
0.362,0.520,1.812,-14.648,94.849,-24.597
0.369,0.495,1.648,-32.776,59.570,-20.813
0.415,0.409,1.476,-41.626,22.034,-18.860
0.404,0.313,1.329,-42.419,-10.376,-15.930
0.429,0.250,1.211,-38.208,-23.865,-12.146
0.439,0.206,0.855,-25.757,-28.564,-6.165
0.383,0.193,0.848,-11.353,-46.570,1.038
0.345,0.180,1.017,1.221,-63.293,4.333
0.336,0.177,1.106,9.399,-57.495,1.953
0.343,0.194,0.984,11.902,-39.246,-2.502
0.318,0.206,1.025,7.935,-37.109,-7.996
0.305,0.232,1.009,1.709,-49.316,-14.099
0.202,0.224,1.076,-3.601,-66.467,-18.616
0.125,0.243,1.140,-8.545,-69.946,-19.165
0.137,0.284,1.105,-13.916,-56.152,-16.174
0.179,0.331,1.075,-9.705,-39.429,-8.972
0.221,0.352,1.036,-5.737,-29.663,-2.625
0.234,0.352,0.953,-6.409,-22.949,0.610
0.250,0.324,0.881,-13.489,-15.747,0.183
0.254,0.280,0.829,-22.400,-11.169,-1.526
0.276,0.286,0.805,-30.212,-8.972,-3.418
0.248,0.289,0.822,-33.081,-6.226,-6.165
0.241,0.315,0.775,-31.128,-3.906,-7.874
0.196,0.354,0.858,-27.161,-2.625,-7.812
