aX,aY,aZ,gX,gY,gZ
0.913,0.226,1.089,26.489,26.001,28.748
0.871,0.276,1.201,-8.850,0.916,21.545
0.834,0.336,1.202,-34.973,-16.785,14.343
0.787,0.405,1.154,-45.044,-31.860,7.324
0.708,0.458,1.155,-47.424,-40.344,2.197
0.674,0.496,1.114,-36.255,-43.457,-2.319
0.619,0.501,1.023,-17.883,-43.823,-3.723
0.575,0.503,0.935,-1.465,-40.344,-4.211
0.531,0.465,0.834,9.949,-34.058,-4.883
0.495,0.448,0.751,14.954,-27.344,-4.639
0.470,0.427,0.699,13.184,-20.386,-3.845
0.458,0.422,0.679,4.333,-13.306,-2.686
0.463,0.406,0.689,-3.418,-7.690,-0.427
0.491,0.394,0.719,-5.859,-2.075,1.282
0.510,0.375,0.763,-3.418,3.113,1.831
0.504,0.366,0.819,5.005,6.348,1.160
0.495,0.373,0.796,14.893,4.395,0.488
0.498,0.378,0.770,21.179,-3.723,0.305
0.480,0.391,0.797,23.682,-15.808,1.587
0.490,0.378,0.778,22.949,-28.809,4.700
0.499,0.357,0.758,15.564,-35.095,7.507
0.498,0.324,0.758,13.489,-39.612,8.789
0.500,0.289,0.752,14.771,-40.710,6.836
0.486,0.279,0.721,15.930,-36.682,4.272
0.486,0.260,0.694,18.616,-29.907,2.014
0.466,0.258,0.679,20.325,-22.156,0.488
0.455,0.257,0.671,18.433,-15.869,-0.427
0.446,0.271,0.684,13.428,-11.658,-1.465
0.431,0.301,0.706,8.362,-8.484,-2.380
0.421,0.339,0.740,4.150,-6.592,-2.014
0.421,0.363,0.789,1.526,-6.714,-0.854
0.431,0.371,0.808,1.709,-8.118,0.183
0.428,0.375,0.840,4.578,-10.864,0.610
0.427,0.374,0.815,9.094,-12.573,0.183
0.425,0.365,0.786,15.503,-12.451,-0.488
