aX,aY,aZ,gX,gY,gZ
-0.943,-0.258,-0.366,1.770,-9.338,-6.042
-0.930,-0.262,-0.375,0.610,-7.690,-2.930
-0.914,-0.273,-0.382,-0.732,-5.432,0.305
-0.903,-0.298,-0.375,-2.441,-2.808,3.235
-0.894,-0.324,-0.356,-4.822,0.244,4.944
-0.883,-0.342,-0.336,-7.935,3.235,5.188
-0.864,-0.359,-0.319,-10.315,4.944,5.005
-0.849,-0.372,-0.305,-11.597,5.310,3.906
-0.842,-0.379,-0.295,-10.681,4.822,2.441
-0.840,-0.374,-0.302,-7.568,5.005,0.977
-0.839,-0.368,-0.317,-4.456,5.188,0.183
-0.839,-0.359,-0.337,-3.052,6.104,0.244
-0.836,-0.350,-0.354,-2.197,7.690,1.770
-0.836,-0.341,-0.363,-1.892,10.498,3.113
-0.839,-0.334,-0.357,-1.831,13.428,4.456
-0.848,-0.334,-0.336,-2.075,15.137,4.822
-0.858,-0.345,-0.296,-3.296,15.259,3.967
-0.874,-0.362,-0.247,-4.456,13.733,2.197
-0.889,-0.379,-0.208,-3.357,10.681,0.366
-0.903,-0.390,-0.191,-1.160,7.446,-1.099
-0.911,-0.393,-0.190,1.282,4.211,-1.892
-0.912,-0.392,-0.201,3.479,0.732,-1.709
-0.909,-0.391,-0.221,5.188,-1.831,-1.404
-0.907,-0.386,-0.246,6.653,-3.479,-1.038
-0.898,-0.376,-0.271,8.118,-4.395,-0.488
-0.891,-0.363,-0.296,8.240,-4.456,-0.549
-0.882,-0.351,-0.314,7.385,-3.906,-0.977
-0.874,-0.337,-0.329,5.920,-2.808,-1.404
-0.867,-0.327,-0.338,4.272,-1.892,-1.648
-0.865,-0.315,-0.340,2.625,-0.610,-1.648
-0.866,-0.314,-0.339,1.343,0.488,-1.465
-0.871,-0.318,-0.334,-0.671,1.404,-1.648
-0.875,-0.323,-0.323,-3.052,2.258,-1.770
-0.880,-0.327,-0.309,-4.700,3.113,-1.770
-0.883,-0.333,-0.297,-5.188,2.991,-1.770
-0.890,-0.339,-0.290,-4.883,2.747,-1.282
-0.896,-0.347,-0.284,-3.174,2.930,0.061
